Cuisine,Respondent_Nationality,Unweighted_Base,Base,Like_a_lot_pc,Like_a_fair_amount_pc,Dont_like_very_much_pc,Dont_like_at_all_pc,Dont_know_pc,Never_tried_pc,Like_pc
Spain,Australia,1020,1020,21,40,10,2,9,17,74
Spain,China,1014,1014,4,15,13,4,14,50,38
Spain,Hong Kong,1023,1023,10,45,17,3,7,17,67
Spain,Indonesia,1024,1024,6,19,12,4,29,31,36
Spain,Japan,1000,1000,10,39,7,0,20,24,64
Spain,Malaysia,1003,1003,6,23,11,3,23,34,44
Spain,Philippines,1019,1019,29,46,6,1,5,12,86
Spain,Taiwan,1036,1036,14,29,17,1,8,31,62
Spain,Thailand,1020,1020,4,19,15,6,15,40,39
Spain,Vietnam,1011,1011,11,21,15,4,19,30,45
Spain,India,1163,1163,13,26,11,5,13,32,58
Spain,Singapore,1010,1010,14,37,11,3,9,26,68
Spain,Italy,1002,1002,29,51,7,1,5,8,87
Spain,Spain,1001,1001,86,12,1,0,1,0,98
Spain,USA,1184,1177,32,33,5,3,10,17,79
Spain,UAE,1027,1027,22,35,11,4,13,16,67
Spain,Saudi Arabia,1009,1009,15,25,9,4,19,27,56
Spain,Great Britain,1627,1627,27,45,11,2,5,10,80
Spain,Germany,2038,2038,19,43,15,3,8,11,70
Spain,France,1008,1008,45,36,6,2,4,6,87
Spain,Denmark,1023,1024,25,45,18,2,5,5,74
Spain,Sweden,1021,1016,35,44,8,2,7,4,82
Spain,Finland,1002,1002,26,47,10,3,6,8,70
Spain,Norway,583,583,34,38,7,2,8,11,81
Great Britain,Australia,1020,1020,21,45,16,4,7,8,71
Great Britain,China,1014,1014,5,17,14,6,11,47,43
Great Britain,Hong Kong,1023,1023,8,47,23,5,7,10,61
Great Britain,Indonesia,1024,1024,15,32,12,3,19,19,58
Great Britain,Japan,1000,1000,2,11,14,5,28,40,20
Great Britain,Malaysia,1003,1003,10,41,12,2,13,22,65
Great Britain,Philippines,1019,1019,13,39,9,2,12,26,70
Great Britain,Taiwan,1036,1036,8,26,21,3,11,32,50
Great Britain,Thailand,1020,1020,5,24,14,7,15,35,44
Great Britain,Vietnam,1011,1011,15,32,11,3,16,23,61
Great Britain,India,1163,1163,20,33,11,4,10,23,68
Great Britain,Singapore,1010,1010,16,50,12,2,6,14,76
Great Britain,Italy,1002,1002,4,23,31,17,9,17,32
Great Britain,Spain,1001,1001,4,17,33,20,8,18,26
Great Britain,USA,1184,1177,8,26,14,4,16,31,49
Great Britain,UAE,1027,1027,17,37,13,4,14,14,63
Great Britain,Saudi Arabia,1009,1009,13,26,11,4,20,26,52
Great Britain,Great Britain,1627,1627,50,40,5,2,2,1,91
Great Britain,Germany,2038,2038,3,17,30,20,11,18,25
Great Britain,France,1008,1008,4,19,26,25,7,17,28
Great Britain,Denmark,1023,1024,4,21,48,8,11,9,27
Great Britain,Sweden,1021,1016,5,28,33,19,10,5,35
Great Britain,Finland,1002,1002,8,35,26,9,10,12,51
Great Britain,Norway,583,583,9,31,26,11,12,11,45
France,Australia,1020,1020,22,38,13,5,7,15,70
France,China,1014,1014,10,27,11,3,9,41,63
France,Hong Kong,1023,1023,16,49,16,3,5,11,73
France,Indonesia,1024,1024,13,23,13,3,25,24,46
France,Japan,1000,1000,13,47,12,2,14,13,68
France,Malaysia,1003,1003,9,33,12,3,16,27,58
France,Philippines,1019,1019,25,42,6,1,7,18,82
France,Taiwan,1036,1036,21,37,15,2,7,18,71
France,Thailand,1020,1020,10,37,14,5,10,24,62
France,Vietnam,1011,1011,29,29,10,2,11,19,72
France,India,1163,1163,20,31,10,4,9,26,70
France,Singapore,1010,1010,20,48,10,2,6,14,79
France,Italy,1002,1002,14,40,22,9,5,10,60
France,Spain,1001,1001,19,46,19,3,6,8,70
France,USA,1184,1177,18,33,8,4,12,25,69
France,UAE,1027,1027,25,37,11,4,10,12,71
France,Saudi Arabia,1009,1009,20,30,9,4,16,20,63
France,Great Britain,1627,1627,21,39,17,6,5,11,68
France,Germany,2038,2038,16,39,18,7,9,10,62
France,France,1003,1003,86,10,1,1,2,1,96
France,Denmark,1023,1024,24,40,20,4,6,6,68
France,Sweden,1021,1016,32,42,10,4,6,5,79
France,Finland,1002,1002,22,45,12,3,8,10,70
France,Norway,583,583,28,38,9,4,10,12,74
Germany,Australia,1020,1020,12,38,15,4,10,21,63
Germany,China,1014,1014,6,17,12,4,12,49,45
Germany,Hong Kong,1023,1023,9,47,19,3,7,14,65
Germany,Indonesia,1024,1024,6,20,12,4,29,29,37
Germany,Japan,1000,1000,5,27,11,1,25,31,46
Germany,Malaysia,1003,1003,4,17,13,4,24,39,35
Germany,Philippines,1019,1019,8,29,10,2,14,37,59
Germany,Taiwan,1036,1036,10,36,19,1,8,26,62
Germany,Thailand,1020,1020,7,31,13,6,12,31,54
Germany,Vietnam,1011,1011,13,25,14,3,18,26,51
Germany,India,1163,1163,11,19,11,4,16,39,49
Germany,Singapore,1010,1010,9,37,13,3,9,29,64
